Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinSF1;BsmtFinType2;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;Heating;HeatingQC;Ce1tralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;GarageType;GarageYrBlt;Garage2ish;GarageCars;GarageArea;GarageQual;GarageCond;2avedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;PoolQC;Fence;MiscFeature;MiscVal;MoSold;YrSold;SaleType;SaleCondition;SalePrice
19;20;0;66;13695;0;NA;0;0;0;0;0;12;4;0;0;1;5;5;2004;2004;0;0;0;0;1;0;1;0;0;1;0;0;0;646;0;0;468;1114;0;0;0;0;1114;0;0;1114;1;0;1;1;3;1;0;6;0;0;NA;1;2004;1;2;576;0;0;0;0;102;0;0;0;0;NA;NA;NA;0;6;2008;0;0;159000
20;20;0;70;7560;0;NA;0;0;0;0;0;11;0;0;0;1;5;6;1958;1965;1;0;4;4;1;0;1;0;1;1;0;0;6;504;0;0;525;1029;0;2;0;0;1339;0;0;1339;0;0;1;0;3;1;1;6;1;0;NA;0;1958;1;1;294;0;0;0;0;0;0;0;0;0;NA;1;NA;0;5;2009;2;1;139000
21;60;0;101;14215;0;NA;1;0;0;2;0;10;0;0;0;0;8;5;2005;2006;0;0;0;0;0;380;0;0;0;2;0;3;2;0;0;0;1158;1158;0;0;0;0;1158;1218;0;2376;0;0;3;1;4;1;0;9;0;1;2;2;2005;0;3;853;0;0;0;240;154;0;0;0;0;NA;NA;NA;0;11;2006;1;2;325300
22;45;1;57;7449;0;0;0;1;0;0;0;13;0;0;0;3;7;7;1930;1950;0;0;2;5;1;0;1;0;0;1;0;0;2;0;0;0;637;637;0;0;0;1;1108;0;0;1108;0;0;1;0;3;1;0;6;0;1;2;0;1930;1;1;280;0;0;1;0;0;205;0;0;0;NA;3;NA;0;6;2007;0;0;139400
23;20;0;75;9742;0;NA;0;0;0;0;0;0;0;0;0;1;8;5;2002;2002;1;0;0;0;0;281;0;0;0;0;0;0;2;0;0;0;1777;1777;0;0;0;0;1795;0;0;1795;0;0;2;0;3;1;0;7;0;1;2;0;2002;0;2;534;0;0;0;171;159;0;0;0;0;NA;NA;NA;0;9;2008;0;0;230000
24;120;1;44;4224;0;NA;0;0;0;0;0;14;0;0;3;1;5;7;1976;1976;0;0;6;6;1;0;1;0;0;0;0;0;0;840;0;0;200;1040;0;2;0;0;1060;0;0;1060;1;0;1;0;3;1;1;6;0;1;1;0;1976;1;2;572;0;0;0;100;110;0;0;0;0;NA;NA;NA;0;6;2007;0;0;129900
25;20;0;NA;8246;0;NA;1;0;0;0;0;9;0;0;0;1;5;8;1968;2001;0;0;7;4;1;0;1;1;1;1;0;2;3;188;3;668;204;1060;0;0;0;0;1060;0;0;1060;1;0;1;0;3;1;0;6;0;1;1;0;1968;1;1;270;0;0;0;406;90;0;0;0;0;NA;1;NA;0;5;2010;0;0;154000
26;20;0;110;14230;0;NA;0;0;0;2;0;10;0;0;0;1;8;5;2007;2007;0;0;0;0;2;640;0;0;0;0;0;0;2;0;0;0;1566;1566;0;0;0;0;1600;0;0;1600;0;0;2;0;3;1;0;7;0;1;2;0;2007;0;3;890;0;0;0;0;56;0;0;0;0;NA;NA;NA;0;7;2009;0;0;256300
27;20;0;60;7200;0;NA;0;0;0;2;0;11;0;0;0;1;5;7;1951;2000;0;0;2;5;1;0;1;0;1;1;0;2;4;234;4;486;180;900;0;2;0;0;900;0;0;900;0;1;1;0;3;1;0;5;0;0;NA;1;2005;1;2;576;0;0;0;222;32;0;0;0;0;NA;NA;NA;0;5;2010;0;0;134800
28;20;0;98;11478;0;NA;0;0;0;0;0;10;0;0;0;1;8;5;2007;2008;0;0;0;0;2;200;0;0;0;2;0;0;0;1218;0;0;486;1704;0;0;0;0;1704;0;0;1704;1;0;2;0;3;1;0;7;0;1;2;0;2008;0;3;772;0;0;0;0;50;0;0;0;0;NA;NA;NA;0;5;2010;0;0;306000
29;20;0;47;16321;0;NA;1;0;0;3;0;11;0;0;0;1;5;6;1957;1997;0;0;1;1;1;0;1;0;1;1;0;1;4;1277;0;0;207;1484;0;2;0;0;1600;0;0;1600;1;0;1;0;2;1;1;6;0;2;2;0;1957;0;1;319;0;0;0;288;258;0;0;0;0;NA;NA;NA;0;12;2006;0;0;207500
30;30;1;60;6324;0;NA;1;0;0;0;0;8;1;2;0;1;4;6;1927;1950;0;0;1;1;1;0;1;0;2;1;0;0;2;0;0;0;520;520;0;3;1;0;520;0;0;520;0;0;1;0;1;1;3;4;0;0;NA;1;1920;1;1;240;1;0;0;49;0;87;0;0;0;NA;NA;NA;0;5;2008;0;0;68500
31;70;2;50;8500;0;1;0;0;0;0;0;13;1;0;0;0;4;4;1920;1950;2;0;4;7;1;0;1;2;2;1;0;0;2;0;0;0;649;649;0;2;1;0;649;668;0;1317;0;0;1;0;3;1;1;6;0;0;NA;1;1920;1;1;250;0;1;1;0;54;172;0;0;0;NA;1;NA;0;7;2008;0;0;40000
32;20;0;NA;8544;0;NA;1;0;0;3;0;9;0;0;0;1;5;6;1966;2006;0;0;3;3;1;0;1;0;1;1;0;0;2;0;0;0;1228;1228;0;1;0;0;1228;0;0;1228;0;0;1;1;3;1;0;6;0;0;NA;0;1966;1;1;271;0;0;0;0;65;0;0;0;0;NA;1;NA;0;6;2008;0;0;149350
33;20;0;85;11049;0;NA;0;0;0;2;0;0;0;0;0;1;8;5;2007;2007;0;0;0;0;1;0;0;0;0;2;0;3;2;0;0;0;1234;1234;0;0;0;0;1234;0;0;1234;0;0;2;0;3;1;0;7;0;0;NA;0;2007;0;2;484;0;0;0;0;30;0;0;0;0;NA;NA;NA;0;1;2008;0;0;179900
34;20;0;70;10552;0;NA;1;0;0;0;0;11;0;0;0;1;5;5;1959;1959;1;0;4;7;1;0;1;0;1;1;0;0;3;1018;0;0;380;1398;0;1;0;0;1700;0;0;1700;0;1;1;1;4;1;0;6;0;1;2;0;1959;0;2;447;0;0;0;0;38;0;0;0;0;NA;NA;NA;0;4;2010;0;0;165500
35;120;0;60;7313;0;NA;0;0;0;0;0;10;0;0;3;1;9;5;2005;2005;1;0;1;1;0;246;2;0;0;2;0;0;0;1153;0;0;408;1561;0;0;0;0;1561;0;0;1561;1;0;2;0;2;1;2;6;0;1;2;0;2005;2;2;556;0;0;0;203;47;0;0;0;0;NA;NA;NA;0;8;2007;0;0;277500
36;60;0;108;13418;0;NA;0;0;0;0;0;10;0;0;0;0;8;5;2004;2005;0;0;0;0;2;132;0;0;0;2;0;3;2;0;0;0;1117;1117;0;0;0;0;1132;1320;0;2452;0;0;3;1;4;1;0;9;0;1;2;2;2004;2;3;691;0;0;0;113;32;0;0;0;0;NA;NA;NA;0;9;2006;0;0;309000
37;20;0;112;10859;0;NA;0;0;0;2;0;0;0;0;0;1;5;5;1994;1995;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1097;1097;0;0;0;0;1097;0;0;1097;0;0;1;1;3;1;1;6;0;0;NA;0;1995;1;2;672;0;0;0;392;64;0;0;0;0;NA;NA;NA;0;6;2009;0;0;145000
38;20;0;74;8532;0;NA;0;0;0;0;0;11;0;0;0;1;5;6;1954;1990;1;0;2;5;0;650;1;0;1;1;0;0;3;1213;0;0;84;1297;0;1;0;0;1297;0;0;1297;0;1;1;0;3;1;1;5;0;1;1;0;1954;2;2;498;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;10;2009;0;0;153000
39;20;0;68;7922;0;NA;0;0;0;0;0;11;0;0;0;1;5;7;1953;2007;0;0;0;0;1;0;1;1;1;1;0;0;0;731;0;0;326;1057;0;2;0;0;1057;0;0;1057;1;0;1;0;3;1;0;5;0;0;NA;1;1953;1;1;246;0;0;0;0;52;0;0;0;0;NA;NA;NA;0;1;2010;0;1;109000
40;90;0;65;6040;0;NA;0;0;0;0;0;15;0;0;2;1;4;5;1955;1955;0;0;8;4;1;0;1;0;0;NA;NA;NA;NA;0;NA;0;0;0;0;2;1;3;1152;0;0;1152;0;0;2;0;2;2;3;6;0;0;NA;NA;NA;NA;0;0;NA;NA;1;0;0;0;0;0;0;NA;NA;NA;0;6;2008;0;3;82000
41;20;0;84;8658;0;NA;0;0;0;0;0;11;0;0;0;1;6;5;1965;1965;0;0;2;5;0;101;1;0;1;1;0;0;3;643;0;0;445;1088;0;0;0;0;1324;0;0;1324;0;0;2;0;3;1;1;6;0;1;1;0;1965;0;2;440;0;0;0;0;138;0;0;0;0;NA;2;NA;0;12;2006;0;1;160000
42;20;0;115;16905;0;NA;0;0;0;0;0;16;0;0;0;1;5;6;1959;1959;0;0;0;0;1;0;1;1;1;1;0;1;4;967;0;0;383;1350;0;1;0;0;1328;0;0;1328;0;1;1;1;2;1;1;5;0;2;2;0;1959;0;1;308;0;0;2;0;104;0;0;0;0;NA;NA;NA;0;7;2007;0;0;170000
43;85;0;NA;9180;0;NA;1;0;0;3;0;12;0;0;0;4;5;7;1983;1983;0;0;3;3;1;0;1;0;1;0;0;3;1;747;5;93;0;840;0;1;0;0;884;0;0;884;1;0;1;0;2;1;0;5;0;0;NA;0;1983;0;2;504;0;3;0;240;0;0;0;0;0;NA;1;NA;0;12;2007;0;0;144000
44;20;0;NA;9200;0;NA;1;0;0;3;0;0;0;0;0;1;5;6;1975;1980;1;0;0;0;1;0;1;0;1;0;0;3;6;280;1;491;167;938;0;2;0;0;938;0;0;938;1;0;1;0;3;1;1;5;0;0;NA;1;1977;1;1;308;0;0;0;145;0;0;0;0;0;NA;1;NA;0;7;2008;0;0;130250
45;20;0;70;7945;0;NA;0;0;0;0;0;11;0;0;0;1;5;6;1959;1959;0;0;4;5;1;0;1;0;1;1;0;0;1;179;1;506;465;1150;0;0;0;2;1150;0;0;1150;1;0;1;0;3;1;1;6;0;0;NA;0;1959;0;1;300;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;5;2006;0;0;141000
46;120;0;61;7658;0;NA;0;0;0;0;0;10;0;0;3;1;9;5;2005;2005;1;0;1;1;0;412;2;0;0;2;0;0;0;456;0;0;1296;1752;0;0;0;0;1752;0;0;1752;1;0;2;0;2;1;2;6;0;1;2;0;2005;0;2;576;0;0;0;196;82;0;0;0;0;NA;NA;NA;0;2;2010;0;0;319900
47;50;0;48;12822;0;NA;1;0;0;3;0;4;0;0;0;2;7;5;2003;2003;0;0;0;0;1;0;0;0;0;2;0;0;0;1351;0;0;83;1434;0;0;0;0;1518;631;0;2149;1;0;1;1;1;1;0;6;0;1;4;0;2003;0;2;670;0;0;0;168;43;0;0;198;0;NA;NA;NA;0;8;2009;0;1;239686
48;20;3;84;11096;0;NA;0;0;0;0;0;5;0;0;0;1;8;5;2006;2006;0;0;0;0;1;0;0;0;0;0;0;3;0;24;0;0;1632;1656;0;0;0;0;1656;0;0;1656;0;0;2;0;3;1;0;7;0;0;NA;0;2006;0;3;826;0;0;0;0;146;0;0;0;0;NA;NA;NA;0;7;2007;0;0;249700
49;190;1;33;4456;0;NA;0;0;0;0;0;7;0;0;1;0;4;5;1920;2008;0;0;1;1;1;0;1;0;2;1;0;0;2;0;0;0;736;736;0;1;0;0;736;716;0;1452;0;0;2;0;2;3;1;8;0;0;NA;NA;NA;NA;0;0;NA;NA;1;0;0;102;0;0;0;NA;NA;NA;0;6;2009;1;2;113000
50;20;0;66;7742;0;NA;0;0;0;0;0;9;0;0;0;1;5;7;1966;1966;0;0;3;3;1;0;1;0;1;1;0;0;4;763;0;0;192;955;0;0;0;0;955;0;0;955;1;0;1;0;3;1;1;6;0;0;NA;0;1966;1;1;386;0;0;0;0;0;0;0;0;0;NA;1;NA;0;1;2007;0;0;127000
51;60;0;NA;13869;0;NA;2;0;0;2;0;17;0;0;0;0;6;6;1997;1997;0;0;0;0;1;0;1;0;0;0;0;3;0;182;0;0;612;794;0;1;0;0;794;676;0;1470;0;1;2;0;3;1;1;6;0;0;NA;0;1997;2;2;388;0;0;0;0;75;0;0;0;0;NA;NA;NA;0;7;2007;0;0;177000
52;50;1;52;6240;0;NA;0;0;0;0;0;8;0;0;0;2;6;6;1934;1950;0;0;2;5;1;0;1;0;0;1;0;0;2;0;0;0;816;816;0;2;0;0;816;0;360;1176;0;0;1;0;3;1;1;6;0;1;2;1;1985;1;2;528;0;0;0;112;0;0;0;0;0;NA;1;1;400;9;2006;0;0;114500
53;90;1;110;8472;1;NA;2;1;0;2;1;13;5;0;2;1;5;5;1963;1963;0;0;2;5;1;0;3;0;1;0;0;1;6;104;6;712;0;816;0;2;1;0;816;0;0;816;1;0;1;0;2;1;1;5;0;0;NA;3;1963;1;2;516;0;0;0;106;0;0;0;0;0;NA;NA;NA;0;5;2010;0;0;110000
54;20;0;68;50271;0;NA;1;2;0;0;0;1;0;0;0;1;9;5;1981;1987;0;1;5;2;1;0;0;0;1;2;0;1;0;1810;0;0;32;1842;0;1;0;0;1842;0;0;1842;2;0;0;1;0;1;0;5;0;1;2;0;1981;2;3;894;0;0;0;857;72;0;0;0;0;NA;NA;NA;0;11;2006;0;0;385000
55;80;0;60;7134;0;NA;0;1;0;0;1;11;0;0;0;5;5;5;1955;1955;0;0;1;1;1;0;1;0;1;1;0;0;1;384;0;0;0;384;0;2;0;0;1360;0;0;1360;0;0;1;0;3;1;1;6;1;1;1;1;1962;1;2;572;0;0;0;0;50;0;0;0;0;NA;1;NA;0;2;2007;0;0;130000
56;20;0;100;10175;0;NA;1;0;0;0;0;11;0;0;0;1;6;5;1964;1964;0;0;3;4;0;272;1;0;1;1;0;0;4;490;0;0;935;1425;0;1;0;0;1425;0;0;1425;0;0;2;0;3;1;1;7;0;1;2;0;1964;0;2;576;0;0;0;0;0;0;407;0;0;NA;NA;NA;0;7;2008;0;0;180500
57;160;3;24;2645;0;1;0;0;0;0;0;5;0;0;4;0;8;5;1999;2000;0;0;1;1;0;456;0;0;0;0;0;0;0;649;0;0;321;970;0;0;0;0;983;756;0;1739;1;0;2;1;3;1;0;7;0;0;NA;0;1999;2;2;480;0;0;0;115;0;0;0;0;0;NA;NA;NA;0;8;2009;0;1;172500
58;60;0;89;11645;0;NA;1;0;0;2;0;0;0;0;0;0;7;5;2004;2004;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;860;860;0;0;0;0;860;860;0;1720;0;0;2;1;3;1;0;7;0;0;NA;0;2004;0;2;565;0;0;0;0;70;0;0;0;0;NA;NA;NA;0;8;2006;0;0;196500
59;60;0;66;13682;0;NA;2;3;0;3;0;18;0;0;0;0;10;5;2006;2006;1;0;0;0;0;1031;2;0;0;2;0;1;2;0;0;0;1410;1410;0;0;0;0;1426;1519;0;2945;0;0;3;1;3;1;0;10;0;1;2;2;2006;2;3;641;0;0;0;192;0;37;0;0;0;NA;NA;NA;0;10;2006;1;2;438780
60;20;0;60;7200;0;NA;0;1;0;0;0;0;0;0;0;1;5;7;1972;1972;0;0;3;3;1;0;1;0;1;1;0;3;1;632;0;0;148;780;0;0;0;0;780;0;0;780;0;0;1;0;2;1;1;4;0;0;NA;1;1973;1;1;352;0;0;0;196;0;0;0;0;0;NA;1;NA;0;1;2008;0;0;124900
61;20;0;63;13072;0;NA;0;0;0;0;0;12;4;0;0;1;6;5;2004;2004;0;0;0;0;1;0;1;0;0;0;0;0;1;941;0;0;217;1158;0;0;0;0;1158;0;0;1158;1;0;1;1;3;1;0;5;0;0;NA;1;2006;1;2;576;0;0;0;0;50;0;0;0;0;NA;NA;NA;0;5;2006;1;2;158000
62;75;1;60;7200;0;NA;0;0;0;0;0;13;0;0;0;6;5;7;1920;1996;0;0;1;1;1;0;1;0;2;1;3;0;2;0;0;0;530;530;0;2;1;0;581;530;0;1111;0;0;1;0;3;1;3;6;0;0;NA;1;1935;1;1;288;0;0;1;0;0;144;0;0;0;NA;NA;NA;0;3;2007;0;0;101000
63;120;0;44;6442;0;NA;1;0;0;0;0;10;0;0;3;1;8;5;2006;2006;0;0;0;0;2;178;0;0;0;0;1;2;0;24;0;0;1346;1370;0;0;0;0;1370;0;0;1370;0;0;2;0;2;1;0;6;0;1;2;0;2006;0;2;484;0;0;0;120;49;0;0;0;0;NA;NA;NA;0;10;2007;0;0;202500
64;70;1;50;10300;0;NA;1;1;0;0;0;7;6;3;0;0;7;6;1921;1950;0;0;9;8;1;0;1;0;2;1;0;0;2;0;0;0;576;576;0;1;0;0;902;808;0;1710;0;0;2;0;3;1;1;9;0;0;NA;1;1990;1;2;480;0;0;0;12;11;64;0;0;0;NA;3;NA;0;4;2010;0;0;140000
65;60;0;NA;9375;0;NA;0;0;0;0;0;0;0;0;0;0;7;5;1997;1998;0;0;0;0;0;573;1;0;0;0;0;0;0;739;0;0;318;1057;0;0;0;0;1057;977;0;2034;1;0;2;1;3;1;0;8;0;0;NA;0;1998;0;2;645;0;0;0;576;36;0;0;0;0;NA;3;NA;0;2;2009;0;0;219500
66;60;0;76;9591;0;NA;0;0;0;0;0;10;0;0;0;0;8;5;2004;2005;0;0;0;0;0;344;0;0;0;2;0;3;2;0;0;0;1143;1143;0;0;0;0;1143;1330;0;2473;0;0;2;1;4;1;0;9;0;1;2;2;2004;0;3;852;0;0;0;192;151;0;0;0;0;NA;NA;NA;0;10;2007;0;0;317000
67;20;0;NA;19900;0;NA;0;0;0;0;0;11;7;0;0;1;7;5;1970;1989;0;0;7;4;0;287;1;0;1;0;0;1;0;912;0;0;1035;1947;0;2;0;0;2207;0;0;2207;1;0;2;0;3;1;1;7;1;1;2;0;1970;0;2;576;0;0;0;301;0;0;0;0;0;NA;NA;NA;0;7;2010;0;0;180000
68;20;0;72;10665;0;NA;1;0;0;0;0;0;0;0;0;1;7;5;2003;2003;0;0;0;0;0;167;0;0;0;0;0;3;0;1013;0;0;440;1453;0;0;0;0;1479;0;0;1479;1;0;2;0;3;1;0;7;0;0;NA;0;2003;0;2;558;0;0;0;144;29;0;0;0;0;NA;NA;NA;0;6;2007;0;0;226000
69;30;1;47;4608;0;NA;0;0;0;2;0;7;3;0;0;1;4;6;1945;1950;0;0;1;1;1;0;1;1;1;1;0;0;2;0;0;0;747;747;0;2;0;0;747;0;0;747;0;0;1;0;2;1;1;4;0;0;NA;0;1945;1;1;220;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;6;2010;0;0;80000
70;50;0;81;15593;0;NA;0;0;0;2;0;19;0;0;0;2;7;4;1953;1953;0;0;4;9;1;0;0;0;1;1;0;0;4;603;0;0;701;1304;1;2;0;0;1304;983;0;2287;0;0;2;0;3;1;1;7;0;1;1;0;1953;2;2;667;0;0;0;0;21;114;0;0;0;NA;NA;NA;0;7;2006;0;0;225000
71;20;0;95;13651;0;NA;1;0;0;0;0;11;0;0;0;1;7;6;1973;1973;0;0;7;4;0;1115;1;1;1;0;0;1;1;1880;0;0;343;2223;0;0;0;0;2223;0;0;2223;1;0;2;0;3;1;1;8;0;2;2;0;1973;2;2;516;0;0;0;300;0;0;0;0;0;NA;NA;NA;0;2;2007;0;0;244000
72;20;0;69;7599;0;NA;0;0;0;2;0;4;0;0;0;1;4;6;1982;2006;0;0;3;4;1;0;1;0;1;1;0;0;1;565;0;0;280;845;0;2;0;0;845;0;0;845;1;0;1;0;2;1;1;4;0;0;NA;1;1987;1;2;360;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;6;2007;0;0;129500
73;60;0;74;10141;0;NA;1;0;0;2;0;17;0;0;0;0;7;5;1998;1998;0;0;0;0;0;40;1;0;0;0;0;0;2;0;0;0;832;832;0;1;0;0;885;833;0;1718;0;0;2;1;3;1;1;7;0;1;1;0;1998;2;2;427;0;0;0;0;94;0;0;291;0;NA;NA;NA;0;12;2009;0;0;185000
